YearMonth,Weekly_Sales,Negative,Neutral,Positive,Total_Reviews,Positive_Ratio,Neutral_Ratio,Negative_Ratio
2010-02,190332983.04,248,1099,4972,6319,0.7868333597088147,0.1739199240386137,0.03924671625257161
2010-03,181919802.5,247,1222,4926,6395,0.7702892885066458,0.19108678655199374,0.03862392494136044
2010-04,231412368.05,243,1020,4423,5686,0.777875483644038,0.17938797045374605,0.04273654590221597
2010-05,186710934.34,231,1085,4797,6113,0.784721086209717,0.17749059381645674,0.03778831997382627
2010-06,192246172.36,218,1077,4339,5634,0.7701455449059283,0.19116080937167199,0.038693645722399715
2010-07,232580125.98,332,1268,5199,6799,0.7646712751875275,0.1864980144138844,0.04883071039858803
2010-08,187640110.89,357,1377,5198,6932,0.7498557414887478,0.19864396999422965,0.051500288517022506
2010-09,177267896.37,451,1687,6303,8441,0.7467124748252577,0.19985783674920032,0.053429688425542
2010-10,217161824.02,410,1656,6229,8295,0.7509342977697409,0.1996383363471971,0.04942736588306208
2010-11,202853370.14,470,1823,6621,8914,0.742764191159973,0.20450975992820283,0.0527260489118241
2010-12,288760532.72,492,2328,7473,10293,0.726027397260274,0.22617312736811426,0.04779947537161178
2011-01,163703966.83,604,2447,9186,12237,0.7506741848492278,0.1999673122497344,0.04935850290103783
2011-02,186331327.87,617,2373,8562,11552,0.7411703601108033,0.20541897506925208,0.053410664819944595
2011-03,179356448.29,582,2443,9469,12494,0.7578837842164239,0.19553385625100048,0.04658235953257563
2011-04,226526510.97,543,2319,8669,11531,0.7517994970080653,0.20111005116642094,0.04709045182551383
2011-05,181648158.16,519,2247,8263,11029,0.7492066370477831,0.2037356061292955,0.04705775682292139
2011-06,189773385.19,559,2361,8581,11501,0.7461090339970438,0.20528649682636294,0.04860446917659334
2011-07,229911398.87,659,2401,9239,12299,0.7511992844946743,0.1952191235059761,0.05358159199934954
2011-08,188599332.25,630,2768,10559,13957,0.756537937952282,0.19832342193881206,0.04513864010890593
2011-09,220847738.42,730,2861,11212,14803,0.7574140376950618,0.19327163412821724,0.049314328176720934
2011-10,183261283.15,785,3365,12473,16623,0.750345906274439,0.2024303675630151,0.04722372616254587
2011-11,210162354.87,802,3363,12070,16235,0.743455497382199,0.20714505697566984,0.049399445642131196
2011-12,288078102.48,1083,3845,14110,19038,0.7411492803865952,0.2019644920684946,0.05688622754491018
2012-01,168894471.66,1169,4082,16435,21686,0.7578622152540809,0.18823203910356912,0.0539057456423499
2012-02,192063579.54,1071,3872,13854,18797,0.7370325051869979,0.20599031760387296,0.056977177209129114
2012-03,231509650.49,976,3999,14805,19780,0.7484833164812943,0.20217391304347826,0.049342770475227504
2012-04,188920905.95,990,3750,14184,18924,0.7495244134432467,0.19816106531388714,0.0523145212428662
2012-05,188766479.45,890,3757,14788,19435,0.7608952919989709,0.19331103678929765,0.04579367121173141
2012-06,240610329.29,833,3614,13666,18113,0.7544857284823056,0.1995252028929498,0.04598906862474466
2012-07,187509452.4,889,3922,15036,19847,0.7575956063888749,0.19761172973245328,0.04479266387867184
2012-08,236850765.68,1069,3989,14776,19834,0.7449833619038015,0.20111929010789553,0.05389734798830292
2012-09,180645544.47,1132,4275,16505,21912,0.7532402336619204,0.1950985761226725,0.051661190215407084
2012-10,184361680.42,1008,3714,15609,20331,0.7677438394569869,0.18267670060498745,0.04957945993802568
